16
10      69.39         0.5022      6.731
15      20.3          0.4941      6.679
20      8.262         0.4833      6.628
30      2.23          0.4671      6.532
40      0.8748        0.4536      6.442
50      0.4239        0.4401      6.356
60      0.2362        0.4266      6.273
80      0.09396       0.405       6.121
100     0.0459        0.3861      5.982
150     0.01266       0.3483      5.677
200     0.005211      0.3186      5.42
300     0.001488      0.2754      5.006
400     0.000616      0.2484      4.682
500     0.000308      0.2265      4.417
511     0.000294      0.2247      4.39
600     0.000181      0.2098      4.194
