16
10      0.5022      69.39         6.731
15      0.4941      20.3          6.679
20      0.4833      8.262         6.628
30      0.4671      2.23          6.532
40      0.4536      0.8748        6.442
50      0.4401      0.4239        6.356
60      0.4266      0.2362        6.273
80      0.405       0.09396       6.121
100     0.3861      0.0459        5.982
150     0.3483      0.01266       5.677
200     0.3186      0.005211      5.42
300     0.2754      0.001488      5.006
400     0.2484      0.000616      4.682
500     0.2265      0.000308      4.417
511     0.2247      0.000294      4.39
600     0.2098      0.000181      4.194
